date_hour,Tipo,total
2020-06-16 08,Retweet,4245
2020-06-16 09,Original,1534
2020-06-16 09,Cita,458
2020-06-16 09,Respuesta,355
2020-06-16 09,Retweet,4371
2020-06-16 10,Retweet,4029
2020-06-16 10,Respuesta,339
2020-06-16 10,Original,1346
2020-06-16 10,Cita,404
2020-06-16 11,Original,1218
2020-06-16 11,Cita,343
2020-06-16 11,Respuesta,339
2020-06-16 11,Retweet,3607
2020-06-16 12,Retweet,2903
2020-06-16 12,Original,779
2020-06-16 12,Cita,310
2020-06-16 12,Respuesta,297
2020-06-16 13,Retweet,2836
2020-06-16 13,Respuesta,212
2020-06-16 13,Original,655
2020-06-16 13,Cita,263
2020-06-16 14,Respuesta,225
2020-06-16 14,Original,668
2020-06-16 14,Cita,231
2020-06-16 14,Retweet,2719
2020-06-16 15,Retweet,2203
2020-06-16 15,Respuesta,169
2020-06-16 15,Original,623
2020-06-16 15,Cita,187
2020-06-16 16,Original,636
2020-06-16 16,Cita,197
2020-06-16 16,Respuesta,181
2020-06-16 16,Retweet,2340
2020-06-16 17,Respuesta,184
2020-06-16 17,Retweet,2321
2020-06-16 17,Original,599
2020-06-16 17,Cita,206
2020-06-16 18,Original,669
2020-06-16 18,Cita,232
2020-06-16 18,Respuesta,186
2020-06-16 18,Retweet,2885
2020-06-16 19,Original,585
2020-06-16 19,Cita,196
2020-06-16 19,Respuesta,246
2020-06-16 19,Retweet,2844
2020-06-16 20,Retweet,3074
2020-06-16 20,Respuesta,232
2020-06-16 20,Original,489
2020-06-16 20,Cita,197
2020-06-16 21,Original,429
2020-06-16 21,Cita,196
2020-06-16 21,Respuesta,219
2020-06-16 21,Retweet,3172
2020-06-16 22,Original,303
2020-06-16 22,Cita,197
2020-06-16 22,Respuesta,180
2020-06-16 22,Retweet,2543
2020-06-16 23,Retweet,1664
2020-06-16 23,Original,271
2020-06-16 23,Cita,148
2020-06-16 23,Respuesta,143
2020-06-17 00,Respuesta,83
2020-06-17 00,Retweet,1041
2020-06-17 00,Original,249
2020-06-17 00,Cita,84
2020-06-17 01,Retweet,710
2020-06-17 01,Respuesta,50
2020-06-17 01,Cita,53
2020-06-17 01,Original,179
2020-06-17 02,Original,159
2020-06-17 02,Cita,43
2020-06-17 02,Respuesta,62
2020-06-17 02,Retweet,570
2020-06-17 03,Respuesta,45
2020-06-17 03,Retweet,635
2020-06-17 03,Original,153
2020-06-17 03,Cita,42
2020-06-17 04,Original,245
2020-06-17 04,Cita,62
2020-06-17 04,Respuesta,77
2020-06-17 04,Retweet,1000
2020-06-17 05,Retweet,2174
2020-06-17 05,Original,513
2020-06-17 05,Cita,131
2020-06-17 05,Respuesta,125
2020-06-17 06,Retweet,3635
2020-06-17 06,Respuesta,238
2020-06-17 06,Original,1060
2020-06-17 06,Cita,229
2020-06-17 07,Original,1679
2020-06-17 07,Cita,338
2020-06-17 07,Respuesta,312
2020-06-17 07,Retweet,4618
2020-06-17 08,Retweet,5208
2020-06-17 08,Original,1654
2020-06-17 08,Cita,454
2020-06-17 08,Respuesta,387
2020-06-17 09,Original,1600
2020-06-17 09,Cita,409
2020-06-17 09,Respuesta,383
2020-06-17 09,Retweet,5109
2020-06-17 10,Respuesta,384
2020-06-17 10,Retweet,5357
2020-06-17 10,Original,1604
2020-06-17 10,Cita,367
2020-06-17 11,Retweet,4189
2020-06-17 11,Respuesta,312
2020-06-17 11,Cita,317
2020-06-17 11,Original,1133
2020-06-17 12,Original,868
2020-06-17 12,Cita,242
2020-06-17 12,Respuesta,335
2020-06-17 12,Retweet,3319
2020-06-17 13,Original,719
2020-06-17 13,Cita,231
2020-06-17 13,Respuesta,234
2020-06-17 13,Retweet,3205
2020-06-17 14,Original,794
2020-06-17 14,Cita,220
2020-06-17 14,Respuesta,194
2020-06-17 14,Retweet,3029
2020-06-17 15,Retweet,2562
2020-06-17 15,Respuesta,191
2020-06-17 15,Cita,206
2020-06-17 15,Original,682
2020-06-17 16,Original,766
2020-06-17 16,Cita,213
2020-06-17 16,Respuesta,218
2020-06-17 16,Retweet,2752
2020-06-17 17,Original,687
2020-06-17 17,Cita,236
2020-06-17 17,Respuesta,213
2020-06-17 17,Retweet,2795
2020-06-17 18,Original,724
2020-06-17 18,Cita,242
2020-06-17 18,Respuesta,232
2020-06-17 18,Retweet,3074
2020-06-17 19,Respuesta,232
2020-06-17 19,Retweet,3305
2020-06-17 19,Original,643
2020-06-17 19,Cita,265
2020-06-17 20,Respuesta,283
2020-06-17 20,Retweet,3773
2020-06-17 20,Original,619
2020-06-17 20,Cita,270
2020-06-17 21,Cita,261
2020-06-17 21,Respuesta,231
2020-06-17 21,Original,552
2020-06-17 21,Retweet,3676
